,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,DATE,company_name
MCD UN Equity.3,1276200000,1415000000,1488500000,1585100000,1644500000,1555700000,1516500000,1363400000,1482000000,1617900000,1751400000,1868100000,CF_DEPR_AMORT,MCD UN Equity
MCD UN Equity.4,1016200000,-550000000,625200000,361100000,-442500000,5255000000,-5312300000,1056300000,-1356900000,-1142800000,125100000,3066500000,CHNG_WORK_CAP,MCD UN Equity
MCD UN Equity.5,8.870344679,10.10812412,11.06105126,10.0502745,9.41427702,7.137685437,7.396261052,8.122995215,12.89732288,11.2041527,8.542362998,8.784432607,CAP_EXPEND_TO_SALES,MCD UN Equity
MCD UN Equity.6,-1757600000,-2218400000,-2654500000,-2384600000,-2180300000,-1259700000,-762600000,884900000,-2050500000,-1901700000,-1537100000,-1737600000,NET_CAP_EXP,MCD UN Equity
MRK UN Equity,45987000000,48047000000,47267000000,44033000000,42237000000,39498000000,39807000000,40122000000,42294000000,39121000000,41518000000,48704000000,SALES_REV_TURN,MRK UN Equity
MRK UN Equity.1,21.20381847,31.42131663,34.25434235,29.39613472,29.2658096,33.68018634,27.18114904,26.66118339,30.30689932,27.98752588,21.20766896,33.04656702,EBITDA_TO_REVENUE,MRK UN Equity
MRK UN Equity.2,40.59286146,12.84428688,27.92081474,18.53922453,30.94948794,17.44121459,15.41103241,62.91979758,28.82427307,21.82401339,22.85519359,10.95900281,EFF_TAX_RATE,MRK UN Equity
MRK UN Equity.3,7381000000,7427000000,6978000000,6988000000,6691000000,6375000000,5441000000,4676000000,4519000000,3310000000,3486000000,3214000000,CF_DEPR_AMORT,MRK UN Equity
MRK UN Equity.4,632000000,3513000000,-427000000,1308000000,-3609000000,-3658000000,2860000000,-7258000000,-2483000000,1594000000,-4826000000,5957000000,CHNG_WORK_CAP,MRK UN Equity
MRK UN Equity.5,3.648857286,3.586071971,4.133962384,3.515545159,3.118119185,3.248265735,4.054563268,4.705647774,6.182910105,8.611743054,10.66766222,9.132720105,CAP_EXPEND_TO_SALES,MRK UN Equity
MRK UN Equity.6,-1678000000,-1723000000,-1954000000,-1548000000,-1317000000,-1283000000,-1614000000,-1888000000,-2615000000,-3369000000,-4429000000,-4448000000,NET_CAP_EXP,MRK UN Equity
MMM UN Equity,26662000000,29611000000,29904000000,30871000000,31821000000,30274000000,30109000000,31657000000,32765000000,32136000000,32184000000,35355000000,SALES_REV_TURN,MMM UN Equity
