,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,DATE,company_name
FFIV UW Equity.5,1.431451339,2.643176013,2.168601565,1.794555374,1.311627982,3.14127917,3.182301655,1.850729244,2.473620193,4.617366653,2.549746429,1.177337775,CAP_EXPEND_TO_SALES,FFIV UW Equity
FFIV UW Equity.6,-12625000,-30445000,-29867000,-26583000,-22718000,-60307000,-63488000,-38681000,-52465000,-103542000,-59940000,-30651000,NET_CAP_EXP,FFIV UW Equity
AKAM UW Equity,1023586000,1158538000,1373947000,1577922000,1963874000,2197448000,2340049000,2489035000,2714474000,2893617000,3198149000,3461223000,SALES_REV_TURN,AKAM UW Equity
AKAM UW Equity.1,38.88544783,39.57807167,37.7489088,37.92323068,37.52404686,34.84555721,33.92646906,27.58506811,29.36182111,39.54863411,41.02332318,44.30572662,EBITDA_TO_REVENUE,AKAM UW Equity
AKAM UW Equity.2,34.74151205,34.60049805,36.56880945,30.04786035,30.39501767,29.61254774,31.19278435,29.09876763,13.03335286,10.01913683,7.453877893,8.592309203,EFF_TAX_RATE,AKAM UW Equity
AKAM UW Equity.3,143749000,167878000,204163000,184431000,247406000,299563000,334302000,372313000,434520000,440674000,478389000,550632000,CF_DEPR_AMORT,AKAM UW Equity
AKAM UW Equity.4,279436000,260312000,-448188000,241108000,161996000,-7796000,14581000,-45777000,435093000,213632000,-366916000,-41268000,CHNG_WORK_CAP,AKAM UW Equity
AKAM UW Equity.5,18.76197994,15.19924249,16.0010539,16.48199341,16.22441155,14.18354382,13.5163409,16.66420922,14.94731576,19.42472,22.8842371,15.75252447,CAP_EXPEND_TO_SALES,AKAM UW Equity
AKAM UW Equity.6,-191869000,-175939000,-219834000,-260073000,-318627000,-311676000,-316289000,-414778000,-405741000,-562077000,-731872000,-545230000,NET_CAP_EXP,AKAM UW Equity
CRL UN Equity,1133416000,1142647000,1129530000,1165528000,1297662000,1363302000,1681432000,1857601000,2266096000,2621226000,2923933000,3540160000,SALES_REV_TURN,CRL UN Equity
CRL UN Equity.1,-18.07482866,22.71357646,21.87104371,21.28108462,21.1237595,22.10295298,21.6607035,22.57971437,21.76262612,22.09412695,23.90427551,25.39777863,EBITDA_TO_REVENUE,CRL UN Equity
CRL UN Equity.3,93649000,85230000,81275000,96636000,96445000,94881000,126658000,131159000,161779000,198095000,234924000,265540000,CF_DEPR_AMORT,CRL UN Equity
CRL UN Equity.4,-52714000,-84068000,-66041000,162511000,-20948000,-37095000,-20234000,135882000,-23507000,-28470000,50236000,-120470000,CHNG_WORK_CAP,CRL UN Equity
CRL UN Equity.5,3.78148888,4.30080331,4.208299027,3.359335855,4.386735529,4.639617634,3.288149625,4.437497611,6.18040895,5.360621328,5.696436957,6.462193799,CAP_EXPEND_TO_SALES,CRL UN Equity
CRL UN Equity.6,-42860000,-49143000,-47534000,-39154000,-56925000,-63252000,-55288000,-82431000,-140054000,-140514000,-166560000,-228772000,NET_CAP_EXP,CRL UN Equity
MKTX UW Equity,145036000,179870000,189783000,238313000,262231000,302193000,367730000,393422000,435565000,511352000,689125000,698951000,SALES_REV_TURN,MKTX UW Equity
MKTX UW Equity.1,38.65798836,46.8588425,50.87178514,50.31660044,51.62318719,54.77856866,56.51510619,55.63720382,54.10535741,56.44135547,61.55095229,57.78073141,EBITDA_TO_REVENUE,MKTX UW Equity
MKTX UW Equity.2,38.26753094,39.41041241,30.86718138,36.08967189,36.89174597,35.06626099,34.14891285,26.60431783,20.74135891,20.40291504,20.02943698,22.77021948,EFF_TAX_RATE,MKTX UW Equity
MKTX UW Equity.3,6350000,6781000,8233000,13051000,17379000,18542000,17838000,19274000,23080000,26857000,35996000,53447000,CF_DEPR_AMORT,MKTX UW Equity
MKTX UW Equity.4,21447000,61533000,-71492000,7565000,30904000,54618000,76721000,39421000,63594000,8514000,150949000,48717000,CHNG_WORK_CAP,MKTX UW Equity
MKTX UW Equity.5,3.588764169,1.756824373,2.715206315,6.435653951,1.764474833,1.586734306,5.031680853,6.496078003,10.92672735,6.785932195,6.621150009,7.241709362,CAP_EXPEND_TO_SALES,MKTX UW Equity
MKTX UW Equity.6,-5205000,-3160000,-5153000,-15337000,-4627000,-4795000,-18503000,-25557000,-47593000,-34700000,-45628000,-50616000,NET_CAP_EXP,MKTX UW Equity
DVN UN Equity,10061000000,10965000000,9678000000,10783000000,17632000000,13145000000,6753000000,6549000000,8896000000,6220000000,4828000000,12206000000,SALES_REV_TURN,DVN UN Equity
DVN UN Equity.1,57.80737501,58.28545372,29.80987807,31.54038765,45.46846642,-114.5150247,36.73922701,21.05664987,40.71492806,16.92926045,-35.48053024,43.23283631,EBITDA_TO_REVENUE,DVN UN Equity
DVN UN Equity.3,1930000000,2248000000,2811000000,2780000000,3319000000,4022000000,2096000000,1008000000,1228000000,1497000000,1300000000,2158000000,CF_DEPR_AMORT,DVN UN Equity
DVN UN Equity.4,1782000000,1595000000,401000000,-1618000000,-787000000,163000000,430000000,320000000,735000000,-287000000,-104000000,-658000000,CHNG_WORK_CAP,DVN UN Equity
DVN UN Equity.5,64.36735911,68.70953032,84.98656747,62.67272559,39.63248639,44.83834157,54.6127647,25.31684227,24.40422662,31.20578778,24.04722452,16.44273308,CAP_EXPEND_TO_SALES,DVN UN Equity
DVN UN Equity.6,-2166000000,-7405000000,-6757000000,-6339000000,-1868000000,-5787000000,-575000000,-1233000000,-1671000000,-1551000000,-1127000000,-1928000000,NET_CAP_EXP,DVN UN Equity
TECH UW Equity,269047000,289962000,314560000,310575000,357763000,452246000,499023000,563003000,642993000,714006000,738691000,931032000,SALES_REV_TURN,TECH UW Equity
TECH UW Equity.1,61.12612295,59.23362372,56.80188199,54.99154794,50.01215889,40.74087996,38.74711186,32.0815342,31.20422773,31.4969342,34.2708927,38.40286907,EBITDA_TO_REVENUE,TECH UW Equity
TECH UW Equity.3,8130000,8700000,12467000,12321000,19175000,37226000,42764000,60036000,64463000,78171000,82737000,87747000,CF_DEPR_AMORT,TECH UW Equity
TECH UW Equity.4,-55928000,28213000,98528000,66675000,65590000,-234507000,-8771000,12759000,106353000,-8234000,103630000,-55930000,CHNG_WORK_CAP,TECH UW Equity
TECH UW Equity.5,1.726092467,1.251888178,1.912830621,7.229815664,3.863171988,4.401365628,3.386216667,2.696077996,3.25571196,3.558933678,7.004823397,4.758268244,CAP_EXPEND_TO_SALES,TECH UW Equity
TECH UW Equity.6,-4644000,-3630000,-6017000,-22454000,-13821000,-19905000,-16898000,-15179000,-20934000,-25411000,-51744000,-44301000,NET_CAP_EXP,TECH UW Equity
GOOGL UW Equity,29321000000,37905000000,46039000000,55519000000,66001000000,74989000000,90272000000,110855000000,136819000000,161857000000,182527000000,257637000000,SALES_REV_TURN,GOOGL UW Equity
GOOGL UW Equity.1,40.16575151,35.86070439,36.48211299,34.83852375,32.5373858,32.56877675,33.07780929,29.8236435,25.84144015,29.55201196,31.3312551,36.42877382,EBITDA_TO_REVENUE,GOOGL UW Equity
GOOGL UW Equity.2,21.22082253,21.00438098,20.15343147,17.22749858,21.08465149,16.80830492,19.34575569,53.43654617,11.96402486,13.32996845,16.24932407,16.20230564,EFF_TAX_RATE,GOOGL UW Equity
GOOGL UW Equity.3,1396000000,1851000000,2962000000,3939000000,4979000000,5063000000,6144000000,6915000000,9035000000,11781000000,13697000000,12441000000,CF_DEPR_AMORT,GOOGL UW Equity
GOOGL UW Equity.4,5146509000,12279000000,2272000000,10861000000,4899000000,8927000000,17848000000,11473000000,931000000,6301000000,10105000000,6427000000,CHNG_WORK_CAP,GOOGL UW Equity
GOOGL UW Equity.5,13.70348897,9.07004353,7.109190035,13.25312055,16.60429387,13.26861273,11.31247784,11.8930134,18.37391006,14.54864479,12.20696116,9.563843703,CAP_EXPEND_TO_SALES,GOOGL UW Equity
GOOGL UW Equity.6,-4018000000,-3438000000,-3273000000,-7358000000,-10959000000,-9915000000,-9972000000,-13184000000,-25041000000,-23548000000,-22281000000,-24640000000,NET_CAP_EXP,GOOGL UW Equity
TFX UN Equity,1433282000,1492528000,1551009000,1696271000,1839832000,1809690000,1868027000,2146303000,2448383000,2595362000,2537156000,2809563000,SALES_REV_TURN,TFX UN Equity
TFX UN Equity.1,22.20239981,20.94031067,-1.090064597,19.23259904,21.52343257,23.44512043,23.41288429,24.57910183,21.71572013,25.87369315,26.84186546,31.9642948,EBITDA_TO_REVENUE,TFX UN Equity
TFX UN Equity.3,84831000,82970000,80468000,92976000,111133000,108393000,117906000,155263000,209980000,214062000,227252000,237362000,CF_DEPR_AMORT,TFX UN Equity
TFX UN Equity.4,-166357000,508779000,-211327000,-232488000,-202295000,-23420000,416028000,-110816000,8782000,89564000,139121000,-133399000,CHNG_WORK_CAP,TFX UN Equity
TFX UN Equity.5,2.095958786,2.987012639,4.216223117,3.748221835,3.672672287,3.395498677,2.844444968,3.303494427,3.299933058,3.956866133,3.574632384,2.549079697,CAP_EXPEND_TO_SALES,TFX UN Equity
TFX UN Equity.6,151509000,331443000,1266000,-63580000,-62320000,-61040000,-42934000,-64571000,-76917000,-88350000,-89294000,153291000,NET_CAP_EXP,TFX UN Equity
ALLE UN Equity,1967700000,2021200000,2023300000,2069600000,2118300000,2068100000,2238000000,2408200000,2731700000,2854000000,2719900000,2867400000,SALES_REV_TURN,ALLE UN Equity
ALLE UN Equity.1,18.92056716,20.03760142,20.51598873,13.86258214,17.70759571,19.91199652,22.39499553,23.22896769,22.40363144,24.22214436,19.43821464,22.97203041,EBITDA_TO_REVENUE,ALLE UN Equity
ALLE UN Equity.2,38.47566575,36.02981778,37.27842923,78.33482543,31.42963792,26.08695652,21.62711864,30.07328784,8.375420875,15.38299663,13.92993979,7.767175573,EFF_TAX_RATE,ALLE UN Equity
ALLE UN Equity.3,47300000,46000000,43800000,46100000,48800000,53200000,66900000,66900000,86200000,83000000,81000000,83100000,CF_DEPR_AMORT,ALLE UN Equity
ALLE UN Equity.5,1.107892463,1.261626756,0.968714476,0.976034016,2.431194826,1.702045356,1.899016979,2.047172162,1.797415529,2.298528381,1.731681312,1.583315896,CAP_EXPEND_TO_SALES,ALLE UN Equity
ALLE UN Equity.6,-20100000,-22700000,-17500000,21500000,-51000000,-34900000,-42400000,-49300000,-49100000,-65600000,-47100000,-45400000,NET_CAP_EXP,ALLE UN Equity
NFLX UW Equity,2162625000,3204577000,3609282000,4374562000,5504656000,6779511000,8830669000,11692713000,15794341000,20156447000,24996056000,29697844000,SALES_REV_TURN,NFLX UW Equity
NFLX UW Equity.1,14.87729033,13.10048097,2.644875075,6.32568472,8.296176909,5.429727896,4.952297499,7.787670834,10.68979706,14.51632324,20.10278742,22.87279171,EBITDA_TO_REVENUE,NFLX UW Equity
NFLX UW Equity.3,38099000,43747000,45469000,48374000,54028000,62283000,57528000,71911000,83157000,103579000,115710000,208412000,CF_DEPR_AMORT,NFLX UW Equity
NFLX UW Equity.4,65075000,357150000,-40937000,339695000,359339000,638317000,-768582000,1070028000,1003153000,-3884007000,2632987000,-2374936000,CHNG_WORK_CAP,NFLX UW Equity
NFLX UW Equity.5,7.293821166,4.207606807,2.453479667,2.74473193,2.625341166,2.495843727,1.21908091,1.48213678,1.101318504,1.255355172,1.992006259,1.766407689,CAP_EXPEND_TO_SALES,NFLX UW Equity
NFLX UW Equity.6,-157738000,-134836000,-88553000,-120070000,-144516000,-169206000,-107653000,-173302000,-173946000,-253035000,-497923000,-524585000,NET_CAP_EXP,NFLX UW Equity
WBD UW Equity,3706000000,4168000000,4487000000,5535000000,6265000000,6394000000,6497000000,6873000000,10553000000,11144000000,10671000000,12191000000,SALES_REV_TURN,WBD UW Equity
WBD UW Equity.1,40.71775499,47.36084453,44.48406508,40.9936766,38.14844374,36.20581795,36.63229183,15.17532373,31.57396001,40.11127064,37.39105988,30.32565007,EBITDA_TO_REVENUE,WBD UW Equity
WBD UW Equity.3,132000000,171000000,137000000,294000000,329000000,330000000,322000000,330000000,1398000000,1347000000,1359000000,1582000000,CF_DEPR_AMORT,WBD UW Equity
WBD UW Equity.4,62000000,735000000,99000000,-668000000,-1229000000,1130000000,-76000000,7179000000,-7886000000,1744000000,1070000000,757000000,CHNG_WORK_CAP,WBD UW Equity
WBD UW Equity.5,1.322180248,1.391554702,1.716068643,2.077687444,1.915403033,1.610885205,1.354471294,1.96420777,1.392968824,2.593323762,3.767219567,3.059634156,CAP_EXPEND_TO_SALES,WBD UW Equity
WBD UW Equity.6,-49000000,-58000000,-77000000,-115000000,-120000000,-42000000,-88000000,-135000000,-40000000,-289000000,-402000000,-373000000,NET_CAP_EXP,WBD UW Equity
A UN Equity,5444000000,6615000000,6858000000,3894000000,4048000000,4038000000,4202000000,4472000000,4914000000,5163000000,5339000000,6319000000,SALES_REV_TURN,A UN Equity
A UN Equity.1,14.10727406,20.01511716,20.70574512,19.46584489,19.83695652,19.19266964,20.49024274,23.54651163,22.66992267,22.83556072,22.47611912,27.12454502,EBITDA_TO_REVENUE,A UN Equity
A UN Equity.3,202000000,253000000,301000000,372000000,384000000,253000000,246000000,212000000,210000000,238000000,308000000,321000000,CF_DEPR_AMORT,A UN Equity
A UN Equity.4,248000000,646000000,-996000000,645000000,436000000,-1107000000,-20000000,216000000,-229000000,-1568000000,839000000,143000000,CHNG_WORK_CAP,A UN Equity
A UN Equity.5,2.222630419,2.842025699,2.828813065,5.00770416,5.064229249,2.426944032,3.307948596,3.935599284,3.601953602,3.002130544,2.228881813,2.975154297,CAP_EXPEND_TO_SALES,A UN Equity
A UN Equity.6,-114000000,-170000000,-194000000,-193000000,-191000000,-86000000,-139000000,-176000000,-176000000,-155000000,-118000000,-187000000,NET_CAP_EXP,A UN Equity
ANTM UN Equity,58698500000,60710700000,61497200000,71023500000,73874100000,79156500000,84863000000,90040000000,92105000000,104213000000,121867000000,138639000000,SALES_REV_TURN,ANTM UN Equity
ANTM UN Equity.1,9.154407694,8.277618278,8.310622272,7.739691792,7.987779208,7.810603046,7.294345003,6.52598845,7.560935888,7.722644968,7.090516711,7.43153081,EBITDA_TO_REVENUE,ANTM UN Equity
ANTM UN Equity.2,33.68781295,33.12867935,31.29098308,31.40201031,41.3909938,44.72036277,45.78302674,3.05247225,26.00631413,19.68253968,26.70727797,23.09148265,EFF_TAX_RATE,ANTM UN Equity
ANTM UN Equity.3,600800000,637200000,740700000,908800000,851000000,907900000,911800000,891000000,1132000000,1133000000,1154000000,1302000000,CF_DEPR_AMORT,ANTM UN Equity
ANTM UN Equity.4,-1265700000,-932600000,2153800000,41800000,-199200000,-1425600000,1251000000,-113700000,-550800000,3145000000,797000000,-61000000,CHNG_WORK_CAP,ANTM UN Equity
ANTM UN Equity.5,0.76901454,0.855697595,0.886056601,0.910262096,0.967321429,0.806250908,0.68769664,0.878498445,1.311546604,1.033460317,0.837798584,0.784050664,CAP_EXPEND_TO_SALES,ANTM UN Equity
ANTM UN Equity.6,-450600000,-515800000,-544500000,-607300000,-626600000,-602900000,-583600000,-791000000,-1208000000,-1077000000,-1021000000,-1087000000,NET_CAP_EXP,ANTM UN Equity
CME UW Equity,3003700000,3280600000,2914600000,2936300000,3112500000,3326800000,3595200000,3644700000,4309400000,4868000000,4883600000,4689700000,SALES_REV_TURN,CME UW Equity
CME UW Equity.1,69.55088724,69.54825337,66.73643038,63.85927868,64.30843373,66.64963328,67.53449043,69.11679974,66.28068873,64.157765,64.59578999,65.74834211,EBITDA_TO_REVENUE,CME UW Equity
CME UW Equity.3,258000000,260500000,253100000,238100000,233200000,228600000,225300000,208500000,248700000,473300000,464400000,385400000,CF_DEPR_AMORT,CME UW Equity
CME UW Equity.4,430900000,724300000,-229600000,-6400000,-80500000,65900000,5900000,147700000,-619500000,431200000,40700000,277400000,CHNG_WORK_CAP,CME UW Equity
CME UW Equity.5,5.326763658,5.24903981,4.8651616,4.277492082,4.520481928,3.432728147,2.553404539,2.247098527,2.708033601,5.045193098,4.04414776,2.712327015,CAP_EXPEND_TO_SALES,CME UW Equity
CME UW Equity.6,-160000000,-154200000,6800000,-125600000,-132800000,-114200000,-91800000,-81900000,-116700000,-245600000,-197500000,-87900000,NET_CAP_EXP,CME UW Equity
JNPR UN Equity,4093300000,4448709000,4365400000,4669100000,4627100000,4857800000,4990100000,5027200000,4647500000,4445400000,4445100000,4735400000,SALES_REV_TURN,JNPR UN Equity
JNPR UN Equity.1,22.54660054,17.72563681,11.34145783,16.18727378,-5.048518511,22.40726255,21.97150358,21.35781349,17.68047337,15.80960094,13.86470496,14.4084977,EBITDA_TO_REVENUE,JNPR UN Equity
JNPR UN Equity.3,155300000,170038000,187000000,189900000,186100000,176500000,206700000,225600000,210500000,210300000,212400000,237400000,CF_DEPR_AMORT,JNPR UN Equity
JNPR UN Equity.4,239220000,1230564000,-794258000,83800000,-965300000,-186700000,1125500000,210300000,293000000,-1073400000,-555800000,-30000000,CHNG_WORK_CAP,JNPR UN Equity
JNPR UN Equity.5,4.526909828,5.986320975,7.987813259,4.92600287,4.168917897,4.329120178,4.302518988,3.007638447,3.171597633,2.465469924,2.258666847,2.111754023,CAP_EXPEND_TO_SALES,JNPR UN Equity
JNPR UN Equity.6,-185300000,-266314000,-348700000,-230000000,-192900000,-210300000,-214700000,-151200000,-147400000,-109600000,-100400000,-100000000,NET_CAP_EXP,JNPR UN Equity
BLK UN Equity,8612000000,9081000000,9337000000,10180000000,11081000000,11401000000,11155000000,13600000000,14198000000,14539000000,16205000000,19374000000,SALES_REV_TURN,BLK UN Equity
BLK UN Equity.1,40.49001393,39.57713908,42.64753133,43.74263261,44.0032488,44.51363915,43.81891528,41.58088235,39.99154811,42.56826467,43.35081765,44.93651285,EBITDA_TO_REVENUE,BLK UN Equity
BLK UN Equity.2,32.14167494,25.3907496,29.68299712,25.72363453,25.7337884,27.16210343,28.92376682,5.134055904,20.00743771,21.79021946,18.97608829,24.07928545,EFF_TAX_RATE,BLK UN Equity
BLK UN Equity.3,310000000,299000000,295000000,291000000,278000000,295000000,263000000,240000000,220000000,296000000,358000000,415000000,CF_DEPR_AMORT,BLK UN Equity
BLK UN Equity.5,1.521133302,2.719964762,1.606511728,0.923379175,0.595614114,1.938426454,1.066786195,1.139705882,1.436822088,1.747025242,1.19716137,1.760090843,CAP_EXPEND_TO_SALES,BLK UN Equity
BLK UN Equity.6,-131000000,-247000000,-150000000,-94000000,-66000000,-221000000,-119000000,-155000000,-204000000,-254000000,-194000000,-341000000,NET_CAP_EXP,BLK UN Equity
DTE UN Equity,8557000000,8858000000,8791000000,9661000000,12301000000,10337000000,10630000000,12607000000,14212000000,12168000000,11423000000,14964000000,SALES_REV_TURN,DTE UN Equity
DTE UN Equity.1,29.11066963,27.79408444,26.12899556,24.16934065,22.6241769,20.67330947,23.32079022,21.64670421,19.4413172,22.8139382,26.75304211,20.25527934,EBITDA_TO_REVENUE,DTE UN Equity
DTE UN Equity.3,1027000000,1041000000,1018000000,1132000000,1193000000,898000000,1034000000,1083000000,1169000000,1323000000,1480000000,1517000000,CF_DEPR_AMORT,DTE UN Equity
DTE UN Equity.4,186000000,150000000,-421000000,-530000000,818000000,-388000000,278000000,-56000000,-1447000000,267000000,1718000000,-3836000000,CHNG_WORK_CAP,DTE UN Equity
DTE UN Equity.5,13.22893537,16.94513434,20.75986805,19.58389401,16.73847655,19.66721486,19.29444967,17.73617831,18.98395722,24.67948718,33.76521054,25.20048115,CAP_EXPEND_TO_SALES,DTE UN Equity
DTE UN Equity.6,-1076000000,-1483000000,-1787000000,-1856000000,-2014000000,-2017000000,-2051000000,-2236000000,-2698000000,-3003000000,-3844000000,-3768000000,NET_CAP_EXP,DTE UN Equity
CE UN Equity,5918000000,6763000000,6418000000,6510000000,6802000000,5674000000,5389000000,6140000000,7155000000,6297000000,5655000000,8537000000,SALES_REV_TURN,CE UN Equity
CE UN Equity.1,13.56877323,14.80112376,7.712683079,28.06451613,15.52484563,12.14310892,22.80571535,19.00651466,23.52201258,19.40606638,18.83289125,27.66779899,EBITDA_TO_REVENUE,CE UN Equity
CE UN Equity.3,300000000,311000000,320000000,319000000,298000000,363000000,295000000,310000000,349000000,356000000,356000000,378000000,CF_DEPR_AMORT,CE UN Equity
CE UN Equity.4,-123000000,192000000,166000000,153000000,-277000000,-123000000,158000000,-162000000,-138000000,-84000000,779000000,-488000000,CHNG_WORK_CAP,CE UN Equity
CE UN Equity.5,8.668469077,8.176844596,6.388282954,5.79109063,9.967656572,9.164610504,4.564854333,4.348534202,4.709993012,5.87581388,6.436781609,5.470305728,CAP_EXPEND_TO_SALES,CE UN Equity
CE UN Equity.6,-487000000,-547000000,-409000000,-364000000,-678000000,-520000000,-246000000,-267000000,-337000000,-370000000,-364000000,-467000000,NET_CAP_EXP,CE UN Equity
NDAQ UW Equity,1516000000,1690000000,1674000000,1895000000,2067000000,2090000000,2276000000,2411000000,2526000000,2535000000,2903000000,3420000000,SALES_REV_TURN,NDAQ UW Equity
NDAQ UW Equity.1,48.41688654,47.63313609,47.43130227,42.74406332,43.10595065,41.05263158,44.20035149,48.90087101,49.01029295,50.53254438,52.2562866,52.63157895,EBITDA_TO_REVENUE,NDAQ UW Equity
NDAQ UW Equity.2,26.04562738,33.15881326,36.31386861,36,30.47138047,32.22222222,20.30075188,16.39908257,56.95488722,24.04317959,23.01980198,22.62059974,EFF_TAX_RATE,NDAQ UW Equity
NDAQ UW Equity.3,103000000,109000000,104000000,122000000,137000000,138000000,170000000,188000000,210000000,190000000,202000000,278000000,CF_DEPR_AMORT,NDAQ UW Equity
NDAQ UW Equity.4,-308000000,264000000,-69000000,-111000000,57000000,-80000000,138000000,-202000000,-476000000,263000000,2673000000,-3185000000,CHNG_WORK_CAP,NDAQ UW Equity
NDAQ UW Equity.5,2.770448549,5.207100592,5.197132616,6.068601583,6.773101113,6.363636364,5.887521968,5.972625467,4.394299287,5.009861933,6.476059249,4.766081871,CAP_EXPEND_TO_SALES,NDAQ UW Equity
NDAQ UW Equity.6,-42000000,-88000000,-87000000,-115000000,-140000000,-133000000,-134000000,-144000000,-111000000,-127000000,-188000000,-163000000,NET_CAP_EXP,NDAQ UW Equity
PM UN Equity,27208000000,31097000000,31377000000,31217000000,29767000000,26794000000,26685000000,28748000000,29625000000,29805000000,28694000000,31405000000,SALES_REV_TURN,PM UN Equity
PM UN Equity.1,44.58982652,46.09769431,47.04401313,46.11910177,42.29851849,42.46099873,43.64249578,43.32823153,41.74177215,39.37929878,44.90834321,45.31762458,EBITDA_TO_REVENUE,PM UN Equity
PM UN Equity.2,27.3731112,29.12613618,29.47554599,29.26168075,29.07981221,27.95631825,27.89197904,40.67428463,22.91256677,23.22730956,21.70181685,21.83616743,EFF_TAX_RATE,PM UN Equity
PM UN Equity.3,932000000,993000000,898000000,882000000,889000000,754000000,743000000,875000000,989000000,964000000,981000000,998000000,CF_DEPR_AMORT,PM UN Equity
PM UN Equity.4,-2552000000,-887000000,-491000000,212000000,586000000,46000000,723000000,4491000000,-3381000000,-570000000,196000000,-3415000000,CHNG_WORK_CAP,PM UN Equity
PM UN Equity.5,2.620552779,2.884522623,3.365522516,3.844059327,3.873416871,3.582891692,4.391980513,5.384722415,4.847257384,2.858580775,2.097999582,2.38178634,CAP_EXPEND_TO_SALES,PM UN Equity
PM UN Equity.6,-713000000,-897000000,-1056000000,-1200000000,-1153000000,-960000000,-1172000000,-1548000000,-1436000000,-852000000,-602000000,-748000000,NET_CAP_EXP,PM UN Equity
CRM UN Equity,1305583000,1657139000,2266539000,3050195000,4071003000,5373586000,6667216000,8437000000,10540000000,13282000000,17098000000,21252000000,SALES_REV_TURN,CRM UN Equity
CRM UN Equity.1,12.90220537,10.4543433,5.391524258,3.477974359,2.047382426,5.632421255,9.609303193,10.07467109,11.74573055,14.16955278,19.56369166,21.21682665,EBITDA_TO_REVENUE,CRM UN Equity
CRM UN Equity.3,53177000,75746000,157286000,216795000,369423000,448296000,525750000,632000000,784000000,982000000,2135000000,2846000000,CF_DEPR_AMORT,CRM UN Equity
CRM UN Equity.4,496438000,-999571000,-426267000,-273935000,-398192000,424377000,989877000,-1412957000,815639000,-92000000,1689000000,3043000000,CHNG_WORK_CAP,CRM UN Equity
CRM UN Equity.5,3.791486256,22.25709491,7.557778622,5.891656107,7.347329393,5.405217298,10.6469027,5.499585161,5.066413662,4.479747026,3.760673763,3.340862037,CAP_EXPEND_TO_SALES,CRM UN Equity
CRM UN Equity.6,-49501000,-368831000,-171300000,-179707000,-299110000,-67214000,-563086000,-384000000,-403000000,-335000000,-209000000,-710000000,NET_CAP_EXP,CRM UN Equity
HII UN Equity,6723000000,6575000000,6708000000,6820000000,6957000000,7020000000,7068000000,7441000000,8176000000,8899000000,9361000000,9524000000,SALES_REV_TURN,HII UN Equity
HII UN Equity.1,6.410828499,4.319391635,8.079904592,10.82111437,12.20353601,13.51851852,15.02546689,14.59481253,14.11448141,11.34958984,11.76156394,9.019319614,EBITDA_TO_REVENUE,HII UN Equity
HII UN Equity.3,183000000,184000000,184000000,226000000,194000000,180000000,186000000,205000000,203000000,227000000,247000000,293000000,CF_DEPR_AMORT,HII UN Equity
HII UN Equity.4,-130000000,1809000000,204000000,184000000,-179000000,-95000000,-211000000,5000000,-888000000,-21000000,323000000,145000000,CHNG_WORK_CAP,HII UN Equity
HII UN Equity.5,2.840993604,2.996197719,2.415026834,2.038123167,2.371711945,2.678062678,4.032258065,4.851498455,4.916829746,4.899426902,3.589360111,3.475430491,CAP_EXPEND_TO_SALES,HII UN Equity
HII UN Equity.6,-191000000,-197000000,-162000000,-139000000,-165000000,-156000000,-281000000,-352000000,-389000000,-436000000,-336000000,-331000000,NET_CAP_EXP,HII UN Equity
MET UN Equity,52265000000,70241000000,68150000000,68199000000,73316000000,61343000000,60787000000,62308000000,67941000000,69620000000,67842000000,71080000000,SALES_REV_TURN,MET UN Equity
MET UN Equity.3,585000000,679000000,596000000,714000000,713000000,693000000,652000000,795000000,628000000,630000000,619000000,694000000,CF_DEPR_AMORT,MET UN Equity
UA UN Equity,1063927000,1472684000,1834921000,2332051000,3084370000,3963313000,4825335000,4989244000,5193185000,5267132000,4474667000,5683466000,SALES_REV_TURN,UA UN Equity
UA UN Equity.1,13.50430998,13.51736014,13.72140817,13.53516711,13.81312878,12.85507857,11.65185422,4.040491906,3.018398151,10.94990595,-6.727964338,13.55509121,EBITDA_TO_REVENUE,UA UN Equity
UA UN Equity.3,31321000,36301000,43082000,50549000,72093000,100940000,144770000,173747000,181768000,186425000,164984000,141144000,CF_DEPR_AMORT,UA UN Equity
UA UN Equity.4,78865000,99353000,145314000,50811000,425591000,-107819000,259384000,-2033000,347000,2549000,529499000,76424000,CHNG_WORK_CAP,UA UN Equity
UA UN Equity.5,2.836848769,3.818062802,2.760336821,3.76621266,4.556133019,7.6067926,8.014904665,5.638910424,3.280934532,2.768147827,2.062522194,1.227402434,CAP_EXPEND_TO_SALES,UA UN Equity
UA UN Equity.6,-30182000,-56228000,-50650000,-87830000,-140528000,-301481000,-386746000,-281339000,-159100000,-145802000,-92291000,-68346000,NET_CAP_EXP,UA UN Equity
TPR UN Equity,3607636000,4158507000,4763180000,5075400000,4806200000,4191600000,4491800000,4488300000,5880000000,6027100000,4961400000,5746300000,SALES_REV_TURN,TPR UN Equity
TPR UN Equity.1,35.39478484,34.38806283,34.5336099,33.24861095,27.24605718,19.31959156,19.23727682,22.28460664,15.83503401,18.0501402,2.128431491,26.36827176,EBITDA_TO_REVENUE,TPR UN Equity
TPR UN Equity.3,126744000,125106000,132909000,163000000,189400000,191800000,210600000,212800000,260300000,268200000,248300000,218700000,CF_DEPR_AMORT,TPR UN Equity
TPR UN Equity.4,-163152000,85766000,226997000,262069000,-306337000,629700000,-325600000,1853300000,-1705100000,144400000,-827800000,1138500000,CHNG_WORK_CAP,TPR UN Equity
